PWSID,PWSNAME,STATE,COUNTYSERVED,VIOID,CCODE,CNAME,CTYPE,VCODE,VNAME,VTYPE,VIOLMEASURE,ENFACTIONTYPE,ENFACTIONNAME,ENFDATE,COMPPERBEGINDATE,COMPPERENDDATE,SOURCES,DEFINITION,HEALTH_EFFECTS
IL0810100,BLUFORD,IL,JEFFERSON,5297010,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIF,St Public Notif received,18-NOV-10,01-AUG-10,31-AUG-10,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297010,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SOX,St Compliance achieved,01-OCT-10,01-AUG-10,31-AUG-10,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297008,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,15-OCT-09,01-SEP-09,30-SEP-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297008,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SOX,St Compliance achieved,01-APR-10,01-SEP-09,30-SEP-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297008,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIE,St Public Notif requested,15-OCT-09,01-SEP-09,30-SEP-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297011,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,28-SEP-10,01-JUL-10,30-SEP-10,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810100,BLUFORD,IL,JEFFERSON,5297011,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIE,St Public Notif requested,16-SEP-10,01-JUL-10,30-SEP-10,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810100,BLUFORD,IL,JEFFERSON,5297008,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIF,St Public Notif received,11-JAN-10,01-SEP-09,30-SEP-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297010,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,16-SEP-10,01-AUG-10,31-AUG-10,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810100,BLUFORD,IL,JEFFERSON,5297009,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,23-OCT-09,01-JUL-09,30-SEP-09,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810100,BLUFORD,IL,JEFFERSON,5297011,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIF,St Public Notif received,18-NOV-10,01-JUL-10,30-SEP-10,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810100,BLUFORD,IL,JEFFERSON,5297009,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIF,St Public Notif received,11-JAN-10,01-JUL-09,30-SEP-09,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810100,BLUFORD,IL,JEFFERSON,5297009,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,15-OCT-09,01-JUL-09,30-SEP-09,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810350,NASON,IL,JEFFERSON,419092,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,16-FEB-12,01-JAN-12,31-MAR-12,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810350,NASON,IL,JEFFERSON,419092,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,22-FEB-12,01-JAN-12,31-MAR-12,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810350,NASON,IL,JEFFERSON,419090,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,17-JUN-09,01-APR-09,30-JUN-09,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810400,WALTONVILLE,IL,JEFFERSON,305,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,16-JUN-10,01-APR-10,30-JUN-10,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810400,WALTONVILLE,IL,JEFFERSON,305,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,22-JUN-10,01-APR-10,30-JUN-10,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810450,WOODLAWN,IL,JEFFERSON,3362699,2456,Total Haloacetic Acids (HAA5),St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIE,St Public Notif requested,12-JUL-17,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Haloacetic acids occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362698,2950,TTHM,St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIE,St Public Notif requested,12-JUL-17,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Trihalomethanes occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Liver kidney or central nervous system problems; increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362699,2456,Total Haloacetic Acids (HAA5),St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,12-JUL-17,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Haloacetic acids occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362698,2950,TTHM,St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIF,St Public Notif received,19-APR-18,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Trihalomethanes occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Liver kidney or central nervous system problems; increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362699,2456,Total Haloacetic Acids (HAA5),St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,05-SEP-17,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Haloacetic acids occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362698,2950,TTHM,St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,05-SEP-17,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Trihalomethanes occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Liver kidney or central nervous system problems; increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362698,2950,TTHM,St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,12-JUL-17,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Trihalomethanes occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Liver kidney or central nervous system problems; increased risk of cancer
IL0810450,WOODLAWN,IL,JEFFERSON,3362699,2456,Total Haloacetic Acids (HAA5),St2 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIF,St Public Notif received,19-APR-18,01-MAR-17,31-MAY-17,Byproduct of drinking water disinfection,Haloacetic acids occur when naturally-occurring organic and inorganic materials in the water react with the disinfectants chlorine and chloramine.,Increased risk of cancer
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,186,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SOX,St Compliance achieved,24-SEP-14,01-JUL-14,30-SEP-14,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,185,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIF,St Public Notif received,19-JUN-15,01-AUG-14,31-AUG-14,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,186,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIE,St Public Notif requested,15-SEP-14,01-JUL-14,30-SEP-14,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,185,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,15-SEP-14,01-AUG-14,31-AUG-14,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,185,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIE,St Public Notif requested,15-SEP-14,01-AUG-14,31-AUG-14,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,186,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,15-SEP-14,01-JUL-14,30-SEP-14,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,185,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SOX,St Compliance achieved,24-SEP-14,01-AUG-14,31-AUG-14,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0815100,DIX-KELL WATER COMMSSION,IL,JEFFERSON,186,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIF,St Public Notif received,19-JUN-15,01-JUL-14,30-SEP-14,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
